2I;782;18;4124549;2096078;2028471;1742042;1678535;295306;296603;18195;17426;40535;35907;173992;163541;1579017;1525580;287810;289302;16794;16117;38465;33931
2I;782;19;4354966;2192371;2162595;1829718;1796240;299709;308989;19261;18044;43683;39322;190348;177097;1651089;1630429;291778;301390;17755;16605;41401;37074
2I;782;20;4383331;2203476;2179855;1852614;1818324;289144;304772;17986;17220;43732;39539;193504;173991;1671204;1655662;280944;297100;16453;15818;41371;37284
2I;782;21;4384664;2202593;2182071;1863492;1826969;278905;298083;16995;16635;43201;40384;194801;174013;1680600;1664292;270846;290450;15478;15222;40868;38094
2I;782;22;4269904;2142616;2127288;1819583;1781093;264704;289204;16560;16025;41769;40966;194806;172591;1636702;1619660;256757;281658;15056;14740;39295;38639
2I;782;23;4285965;2143712;2142253;1824538;1794363;262171;289449;15335;15495;41668;42946;190586;169335;1645409;1636032;254353;281992;13986;14281;39378;40613
2I;782;24;4358269;2184982;2173287;1867178;1825658;259975;287471;14654;14435;43175;45723;193096;172295;1685575;1664753;252323;279860;13227;13139;40761;43240
2I;782;25;4361388;2182810;2178578;1864248;1826855;259224;288210;14350;14486;44988;49027;187053;170000;1688488;1667962;251653;280900;12968;13173;42648;46543
2I;782;26;4182796;2088189;2094607;1784992;1754752;245828;275968;14189;15157;43180;48730;178545;164701;1617183;1600720;238600;268961;12872;13850;40989;46375
2I;782;27;4158071;2073895;2084176;1773186;1746406;241482;272187;12678;13031;46549;52552;172092;159971;1611487;1596645;234559;265584;11502;11950;44255;50026
2I;782;28;3901936;1940734;1961202;1664754;1649069;218701;249314;11826;12055;45453;50764;153029;145854;1520585;1512681;212969;243332;10798;11022;43353;48313
2I;782;29;4099510;2043104;2056406;1751623;1730214;229290;258919;13102;13409;49089;53864;158453;152521;1602472;1587700;223401;252623;11953;12301;46825;51261
2I;782;30;3953412;1966024;1987388;1689550;1671304;215492;249101;13082;13511;47900;53472;145133;142305;1553172;1538259;209950;243246;11976;12465;45793;51113
