Cohort (Total births),Diagonal Line for Calendar Year,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1916,1930,3.8,11.2,25,44.4,72.5,96.6,111.9,124.6,133.9,133.3,136.7,140.9,149.3,147.7,129.2,122.4,127,120.8,99.6,89.8,80.2,73,64.9,56.4,48.2,39.2,28.9,21.6,14.2,9.6,5.5,3,1.5,0.3,0.1,0
1917,1931,3.5,10.8,23,46.6,73.2,95.1,114,127.6,130.2,137.1,145.4,159.1,154,136.8,127.3,140,133.3,112.2,99,90.3,82.6,74.9,65.8,58.1,48.5,39.3,29.6,21,14.4,9.3,5.6,2.8,1.2,0.4,0.1,0
1918,1932,3.3,9.9,24.2,47.4,71.8,97.7,116.9,123,133.4,145.2,166.3,162.5,141.8,131.5,147.6,147.6,122.6,111.2,99.1,92.8,85,75.6,67.1,57.4,48.1,39.2,28.5,20.8,14.1,9.4,5.2,2.5,1.2,0.2,0.1,0
1919,1933,3.2,10.4,25.2,47.1,75.3,101.5,114.4,128.9,144.2,169.9,167.9,149.3,135.9,159.9,160.6,138.4,124.6,113.2,104.8,98.2,87.5,79.1,68.2,59.1,49.4,38.9,29.1,20.9,14.5,9.2,5.3,2.5,1,0.2,0.1,0
1920,1934,3.4,11.3,25,49.8,78.1,98.8,119.5,137.9,163.7,168.8,153.6,139.4,168.9,174.4,150.1,139.8,126,118.6,109.7,99.6,90.2,78.9,68.6,59.5,48.2,39,28.8,21.2,14,8.8,5,2.4,1,0.2,0.1,0
1921,1935,3.7,11.3,26.9,51.8,76.4,102.8,127.6,152.1,160.4,154.5,142.2,179.2,186.2,163.3,151.8,141.5,132.1,124.2,110.8,102.7,90.5,79.7,69.6,58.1,48.1,38.1,28.9,20.2,13.6,8.7,4.7,2.3,0.9,0.2,0.1,0
1922,1936,3.5,11.7,27.2,49.1,76.8,107,137.3,149.2,148,140.1,184.5,196.4,172.7,163.1,152.1,146.5,136.7,124.1,112.9,101.6,90.2,80,67,57.1,46.9,37.7,27.1,19.3,12.8,7.8,4.4,2.2,0.8,0.2,0,0
1923,1937,3.7,11.9,25.8,49.3,80.2,116.1,136.1,138.3,135.1,184.9,205,184.4,174.3,164.4,159.5,152.2,137.2,127.3,112.7,102.5,91.7,77.9,66.8,56.2,46.6,35.7,26,18.8,12.1,7.2,4.1,1.9,0.7,0.1,0,0
1924,1938,3.8,11.4,26.2,52.1,87,116.1,124.6,126.9,180.2,209.5,194.3,186.8,176.3,174.2,166,153.8,141.8,127.6,114.3,104.5,89.4,77.9,66.2,56,44.2,34.6,25.8,17.5,11,6.7,3.7,1.8,0.8,0.1,0,0
1925,1939,3.7,11.9,28,55,87.4,104.1,115.5,166.8,207.7,198.7,196.3,187,186.2,180.3,167.4,157.9,141.3,129.1,115.8,101.6,88.9,77.2,65.9,53.2,42.8,34.1,24,16,10,6.1,3.3,1.7,0.7,0.1,0,NaN
