UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,29,4210286,2112313,2097973,1633801,1573571,275590,302318,30385,28394,120621,138634,6466,5809,45450,49247,1672917,1616082,292030,321750,47149,46212,138559,157579,11605,11053,1661295,1687839,1234521,1213835,256138,281209,15660,16129,116055,134348,4534,4200,34387,38118,1263926,1246563,268064,295766,26963,28645,131116,150401,8578,8408,451018,410134,399280,359736,19452,21109,14725,12265,4566,4286,1932,1609,11063,11129,408991,369519,23966,25984,20186,17567,7443,7178,3027,2645
R,7,2010,30,4304239,2167495,2136744,1669626,1595090,288909,314590,31436,28789,125617,142965,6728,6110,45179,49200,1708557,1637457,305209,333892,48537,46807,143193,161921,11851,11416,1698520,1716603,1254726,1226079,268492,293074,16110,16305,120923,138638,4651,4488,33618,38019,1283452,1258599,280070,307495,27526,29042,135433,154622,8673,8715,468975,420141,414900,369011,20417,21516,15326,12484,4694,4327,2077,1622,11561,11181,425105,378858,25139,26397,21011,17765,7760,7299,3178,2701
R,7,2010,31,4042516,2026439,2016077,1562724,1505508,267176,295699,28974,26578,119987,137074,5989,5585,41589,45633,1598531,1544688,282065,313337,44718,43442,136140,154760,10719,10483,1598467,1622417,1183343,1160014,248732,275447,15173,14858,115796,133003,4188,4043,31235,35052,1209997,1189936,259413,288418,25752,26674,129329,147936,7906,7960,427972,393660,379381,345494,18444,20252,13801,11720,4191,4071,1801,1542,10354,10581,388534,354752,22652,24919,18966,16768,6811,6824,2813,2523
R,7,2010,32,3967602,1986147,1981455,1537087,1485888,257449,285486,28100,26481,117683,134185,5742,5335,40086,44080,1571458,1523578,271561,302363,43461,43141,133506,151310,10115,9941,1560189,1587639,1158481,1139179,239602,265970,14557,14790,113587,130034,4078,3896,29884,33770,1183818,1167834,249630,278305,24849,26484,126749,144526,7503,7592,425958,393816,378606,346709,17847,19516,13543,11691,4096,4151,1664,1439,10202,10310,387640,355744,21931,24058,18612,16657,6757,6784,2612,2349
R,7,2010,33,3933581,1963645,1969936,1519237,1476056,253143,283613,28133,26207,118776,135969,5749,5366,38607,42725,1552451,1512487,266622,299724,43221,42592,133804,152626,9996,9985,1544025,1575807,1146131,1128054,235856,264308,14761,14960,114558,131913,4029,3871,28690,32701,1170541,1155721,245254,276078,24964,26512,127032,145893,7337,7531,419620,394129,373106,348002,17287,19305,13372,11247,4218,4056,1720,1495,9917,10024,381910,356766,21368,23646,18257,16080,6772,6733,2659,2454
R,7,2010,34,3822189,1908731,1913458,1473724,1433839,243571,272693,27138,25310,121852,136495,5312,5070,37134,40051,1505631,1467889,256153,287581,41717,40912,136542,152221,9474,9336,1496243,1524992,1106031,1089939,226870,253958,14082,14118,117825,132504,3795,3687,27640,30786,1129515,1115897,235573,264842,23926,25209,130140,145785,7066,7109,412488,388466,367693,343900,16701,18735,13056,11192,4027,3991,1517,1383,9494,9265,376116,351992,20580,22739,17791,15703,6402,6436,2408,2227
R,7,2010,35,3948335,1974636,1973699,1527709,1481820,250838,280370,27199,25839,127919,141862,5527,4904,35444,38904,1557826,1514827,262716,294515,41386,41093,141957,157270,9569,8967,1557185,1581596,1153535,1132823,234712,262526,14126,14547,123973,137988,3993,3608,26846,30104,1176094,1158116,243201,272852,23839,25421,135908,151190,7242,6873,417451,392103,374174,348997,16126,17844,13073,11292,3946,3874,1534,1296,8598,8800,381732,356711,19515,21663,17547,15672,6049,6080,2327,2094
R,7,2010,36,3830199,1907408,1922791,1475650,1443420,241143,272229,26449,24865,125554,140291,4952,4829,33660,37157,1504258,1474735,252309,285682,40107,39690,138875,154964,8770,8821,1509819,1543379,1118420,1104694,226350,255239,13785,14190,121968,136656,3595,3561,25701,29039,1140048,1128919,234297,265256,23330,24959,133347,149268,6683,6782,397589,379412,357230,338726,14793,16990,12664,10675,3586,3635,1357,1268,7959,8118,364210,345816,18012,20426,16777,14731,5528,5696,2087,2039
R,7,2010,37,3896766,1934537,1962229,1494831,1471522,248692,281385,26198,25233,126457,142569,4942,4753,33417,36767,1523138,1502467,259483,294586,39981,40162,139742,157074,8696,8642,1544087,1585617,1143755,1135115,234174,264747,13987,14549,122893,138828,3616,3544,25662,28834,1165261,1159123,241884,274586,23717,25545,134350,151308,6654,6700,390450,376612,351076,336407,14518,16638,12211,10684,3564,3741,1326,1209,7755,7933,357877,343344,17599,20000,16264,14617,5392,5766,2042,1942
R,7,2010,38,4080228,2028052,2052176,1577889,1551107,258518,291170,26676,25241,126684,143071,4901,4701,33384,36886,1606019,1582142,269139,304095,40881,40732,139724,157335,8690,8653,1640766,1678708,1229447,1217126,244195,274827,14549,14820,123076,139479,3571,3470,25928,28986,1251029,1241256,251932,284389,24845,26311,134310,151855,6649,6702,387286,373468,348442,333981,14323,16343,12127,10421,3608,3592,1330,1231,7456,7900,354990,340886,17207,19706,16036,14421,5414,5480,2041,1951
