date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1969:Q2;0.46;2.04;1.25;0.84;0.41;5.24;0.52;;0.52;0.31;-1.32;1.64;-2.96;3.21;0.22;1.18;-2.03;-0.46;2.24;1.64;-4.27
1969:Q3;2.48;2.55;2.51;1.18;1.33;5.16;0.58;;0.58;0.31;-0.30;0.48;-0.77;1.74;0.22;1.06;-0.68;0.93;0.35;0.12;-1.03
1969:Q4;-3.09;-1.68;-2.39;-1.95;-0.44;5.44;0.64;;0.64;0.30;-3.12;-2.39;-0.73;1.83;0.22;-1.69;-3.52;-5.13;-1.62;3.44;-1.91
1970:Q1;-0.30;-3.01;-1.65;-2.13;0.48;5.04;0.71;;0.71;0.30;-2.15;-6.66;4.52;1.38;0.22;-1.07;-2.44;-12.05;-5.17;10.98;2.73
1970:Q2;0.69;0.02;0.35;-3.93;4.29;4.92;0.36;;0.36;0.29;1.43;-5.73;7.16;3.38;0.22;4.08;0.70;-5.18;-5.88;9.26;6.58
1970:Q3;4.32;3.88;4.10;-2.66;6.76;4.88;0.02;;0.02;0.29;4.53;-1.06;5.59;-0.93;0.22;3.79;4.73;1.34;-1.72;2.46;6.45
1970:Q4;-6.38;-5.76;-6.07;-3.87;-2.20;4.63;-0.32;;-0.32;0.30;-4.50;-4.04;-0.46;-0.83;0.21;-5.15;-4.33;-8.57;-2.86;3.42;-1.46
1971:Q1;13.32;9.58;11.45;1.93;9.52;3.84;-0.66;;-0.66;0.30;9.41;4.46;4.94;-0.82;0.21;8.76;9.58;13.10;2.14;-4.34;7.45
1971:Q2;2.54;3.17;2.86;2.36;0.50;4.05;-0.41;;-0.41;0.31;0.27;0.08;0.19;2.72;0.21;2.41;-0.32;-4.01;1.20;6.41;-1.51
1971:Q3;3.77;3.92;3.85;-1.09;4.93;4.07;-0.16;;-0.16;0.31;3.45;-5.29;8.74;4.50;0.21;6.98;2.49;-11.29;-3.65;18.28;6.13
1971:Q4;0.71;6.08;3.40;4.05;-0.66;3.64;0.09;;0.09;0.31;-0.59;5.14;-5.73;4.08;0.22;2.58;-1.49;16.03;2.06;-13.45;-3.55
1972:Q1;9.51;7.49;8.50;4.97;3.53;3.38;0.35;;0.35;0.31;3.78;2.23;1.55;2.33;0.22;5.60;3.27;7.37;0.78;-1.77;2.49
1972:Q2;11.42;6.36;8.89;2.01;6.88;4.09;0.11;;0.11;0.31;6.16;3.36;2.80;-0.46;0.22;5.80;6.26;9.92;1.52;-4.11;4.74
1972:Q3;4.24;7.80;6.02;3.08;2.94;4.55;-0.12;;-0.12;0.31;2.57;0.13;2.44;2.02;0.22;4.15;2.13;1.39;-0.23;2.76;2.36
1972:Q4;7.92;12.55;10.24;3.61;6.63;4.91;-0.36;;-0.36;0.31;6.47;2.89;3.59;5.70;0.23;10.88;5.18;6.90;1.71;3.98;3.47
1973:Q1;12.71;9.18;10.94;5.31;5.63;5.38;-0.59;;-0.59;0.31;6.02;1.74;4.28;3.43;0.23;8.65;5.23;2.85;1.40;5.81;3.82
1973:Q2;5.29;2.54;3.91;4.31;-0.39;5.60;-0.17;;-0.17;0.31;-0.67;1.70;-2.37;3.86;0.23;2.30;-1.55;-0.31;2.29;2.61;-3.84
1973:Q3;-3.30;1.09;-1.11;2.28;-3.38;5.80;0.25;;0.25;0.31;-4.63;-0.64;-3.99;6.67;0.23;0.52;-6.15;-4.12;0.38;4.64;-6.53
1973:Q4;3.99;4.51;4.25;2.36;1.89;5.43;0.67;;0.67;0.30;0.50;-0.62;1.11;6.42;0.22;5.50;-0.92;-3.34;0.16;8.84;-1.08
1974:Q1;-5.78;-5.42;-5.60;-0.05;-5.55;5.41;1.08;;1.08;0.30;-7.93;-4.79;-3.14;5.31;0.22;-3.79;-9.10;-9.59;-3.44;5.80;-5.66
1974:Q2;0.58;-2.67;-1.04;-0.78;-0.27;4.97;0.79;;0.79;0.30;-2.52;-5.69;3.17;-0.65;0.22;-3.02;-2.37;-13.39;-3.51;10.37;1.14
1974:Q3;-5.57;-3.46;-4.51;-2.24;-2.27;4.72;0.49;;0.49;0.30;-4.68;1.77;-6.45;-1.84;0.23;-6.11;-4.27;8.04;-0.06;-14.15;-4.21
1974:Q4;-2.79;-7.02;-4.90;-5.99;1.09;4.56;0.19;;0.19;0.30;-2.24;-7.85;5.61;-2.81;0.21;-4.45;-1.64;-8.95;-7.55;4.51;5.91
