"Table 1. Central birth rates, by live-birth order, current age, and race of women in each cohort from 1911 through 1991: United States, 1960-2005",,,,,,,,,,,
,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Central birth rates are per 1,000 women in specified single year of age cohort group and are based on births adjusted for underregistration (1960-1979 only) and numbers of women adjusted for misstatements of age in the censuses (1960-2005). For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,
,,,,,,,,,,,
Characteristics,,,                                  Live-birth order                          ,,,,,,,,
Race of women and calendar year,Current age of women,Cohort birth year,Total,1,2,3,4,5,6,7,8 and higher
1996,32,1964,83.8,23.0,30.7,18.0,7.2,2.7,1.2,0.5,0.5
1997,33,1964,74.3,19.1,26.9,16.6,6.8,2.6,1.2,0.6,0.5
1998,34,1964,66.1,16.0,23.4,15.3,6.5,2.6,1.1,0.6,0.6
1999,35,1964,56.9,13.3,19.6,13.4,6.0,2.4,1.1,0.5,0.6
2000,36,1964,49.0,11.1,16.3,11.7,5.4,2.3,1.1,0.5,0.6
2001,37,1964,40.1,8.9,12.9,9.5,4.7,2.0,1.0,0.5,0.6
2002,38,1964,31.7,6.9,10.1,7.3,3.8,1.7,0.8,0.5,0.6
2003,39,1964,25.3,5.7,7.8,5.7,3.0,1.4,0.7,0.4,0.6
2004,40,1964,18.7,4.2,5.6,4.1,2.3,1.1,0.6,0.3,0.5
2005,41,1964,13.0,2.9,3.7,2.8,1.6,0.8,0.5,0.3,0.4
2006,42,1964,8.6,1.8,2.4,1.8,1.1,0.6,0.3,0.2,0.4
2007,43,1964,5.2,1.1,1.4,1.1,0.6,0.4,0.2,0.1,0.3
2008,44,1964,3.1,0.7,0.8,0.6,0.4,0.2,0.1,0.1,0.2
2009,45,1964,1.6,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.1
1979,14,1965,6.4,6.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,15,1965,16.9,15.6,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1981,16,1965,31.5,27.6,3.6,0.3,0.0,NaN,NaN,NaN,NaN
1982,17,1965,50.8,41.5,8.1,1.1,0.1,NaN,NaN,NaN,NaN
1983,18,1965,68.1,51.3,14.0,2.4,0.4,NaN,NaN,NaN,NaN
1984,19,1965,82.7,56.2,21.0,4.7,0.8,NaN,NaN,NaN,NaN
1985,20,1965,96.4,58.1,28.4,7.8,1.7,0.3,0.1,0.0,0.0
1986,21,1965,103.4,55.1,33.8,11.0,2.8,0.6,0.1,0.0,0.0
1987,22,1965,109.4,52.2,37.9,14.2,3.9,1.0,0.2,0.0,0.0
1988,23,1965,114.8,50.3,40.7,16.8,5.1,1.4,0.4,0.1,0.0
1989,24,1965,120.2,49.8,42.2,19.2,6.3,1.9,0.5,0.2,0.1
1990,25,1965,122.7,49.1,42.6,20.6,7.1,2.3,0.7,0.2,0.1
1991,26,1965,120.4,46.3,41.8,20.8,7.6,2.6,0.9,0.3,0.1
1992,27,1965,118.2,43.5,41.4,20.9,7.9,2.8,1.1,0.4,0.2
1993,28,1965,112.2,39.8,39.9,20.2,7.7,2.8,1.1,0.4,0.3
1994,29,1965,106.2,35.8,38.4,19.8,7.6,2.7,1.1,0.5,0.3
1995,30,1965,99.4,31.9,36.2,19.2,7.4,2.7,1.1,0.5,0.4
1996,31,1965,92.5,27.6,34.0,18.8,7.3,2.8,1.1,0.5,0.4
1997,32,1965,84.6,23.3,31.1,18.0,7.2,2.7,1.2,0.6,0.5
1998,33,1965,76.7,19.7,27.8,17.1,7.0,2.7,1.2,0.6,0.6
1999,34,1965,67.5,16.4,23.9,15.6,6.6,2.6,1.2,0.6,0.6
2000,35,1965,59.4,13.9,20.4,14.1,6.2,2.5,1.1,0.6,0.6
2001,36,1965,50.4,11.4,16.7,12.0,5.6,2.4,1.1,0.6,0.6
2002,37,1965,40.9,9.1,13.3,9.6,4.7,2.1,1.0,0.5,0.6
2003,38,1965,33.7,7.6,10.7,7.8,3.9,1.7,0.9,0.5,0.6
2004,39,1965,26.0,5.8,8.0,5.9,3.1,1.5,0.7,0.4,0.6
2005,40,1965,18.9,4.2,5.7,4.2,2.3,1.1,0.6,0.3,0.5
2006,41,1965,13.6,2.9,3.9,2.9,1.7,0.9,0.5,0.3,0.5
2007,42,1965,8.7,1.9,2.4,1.8,1.1,0.6,0.3,0.2,0.4
2008,43,1965,5.5,1.2,1.5,1.1,0.7,0.4,0.2,0.1,0.3
2009,44,1965,3.1,0.7,0.8,0.6,0.4,0.2,0.1,0.1,0.2
1980,14,1966,6.3,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,15,1966,16.6,15.3,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1982,16,1966,31.8,27.7,3.7,0.4,0.0,NaN,NaN,NaN,NaN
1983,17,1966,50.1,40.9,8.0,1.1,0.1,NaN,NaN,NaN,NaN
1984,18,1966,67.8,50.8,14.1,2.5,0.4,NaN,NaN,NaN,NaN
1985,19,1966,84.9,57.5,21.6,4.9,0.9,NaN,NaN,NaN,NaN
1986,20,1966,96.0,57.6,28.2,8.0,1.8,0.3,0.1,0.0,0.0
1987,21,1966,103.7,54.6,33.8,11.5,3.0,0.7,0.1,0.0,0.0
1988,22,1966,111.4,52.2,38.6,14.9,4.3,1.1,0.3,0.0,0.0
1989,23,1966,118.1,51.3,41.3,17.8,5.6,1.6,0.4,0.1,0.0
1990,24,1966,121.9,50.3,42.2,19.8,6.6,2.1,0.6,0.2,0.1
1991,25,1966,120.0,47.6,41.3,20.3,7.2,2.4,0.8,0.3,0.1
1992,26,1966,118.1,45.2,41.0,20.3,7.5,2.6,0.9,0.4,0.2
1993,27,1966,115.3,42.8,40.4,20.1,7.6,2.7,1.1,0.4,0.2
1994,28,1966,110.7,39.5,39.3,19.9,7.5,2.7,1.1,0.4,0.3
1995,29,1966,105.6,36.5,37.9,19.3,7.4,2.6,1.1,0.5,0.3
1996,30,1966,99.9,32.2,36.4,19.2,7.4,2.7,1.1,0.5,0.4
1997,31,1966,93.1,27.9,34.1,18.8,7.4,2.8,1.2,0.5,0.4
1998,32,1966,86.7,24.0,31.8,18.4,7.4,2.8,1.2,0.6,0.5
1999,33,1966,78.1,20.2,28.3,17.4,7.2,2.7,1.2,0.6,0.5
2000,34,1966,70.4,17.2,24.9,16.3,6.9,2.7,1.2,0.6,0.6
2001,35,1966,61.4,14.4,21.1,14.5,6.4,2.6,1.2,0.6,0.6
2002,36,1966,51.7,11.8,17.3,12.2,5.7,2.4,1.1,0.6,0.6
2003,37,1966,43.7,10.1,14.2,10.2,4.9,2.1,1.0,0.5,0.7
2004,38,1966,34.8,7.8,11.0,8.1,4.1,1.8,0.9,0.5,0.6
2005,39,1966,26.5,5.8,8.2,6.0,3.2,1.5,0.8,0.4,0.6
2006,40,1966,19.8,4.2,5.9,4.4,2.5,1.2,0.6,0.4,0.6
2007,41,1966,13.9,3.0,4.0,3.0,1.7,0.9,0.5,0.3,0.5
2008,42,1966,9.0,2.0,2.5,1.9,1.1,0.6,0.3,0.2,0.4
2009,43,1966,5.5,1.2,1.5,1.1,0.7,0.4,0.2,0.1,0.3
1981,14,1967,6.1,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,15,1967,16.7,15.4,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1983,16,1967,31.4,27.5,3.6,0.3,0.0,NaN,NaN,NaN,NaN
1984,17,1967,49.6,40.3,8.1,1.1,0.1,NaN,NaN,NaN,NaN
1985,18,1967,69.5,51.9,14.5,2.7,0.4,NaN,NaN,NaN,NaN
1986,19,1967,84.8,57.4,21.4,5.1,0.9,NaN,NaN,NaN,NaN
1987,20,1967,96.0,56.8,28.3,8.4,2.0,0.4,0.1,0.0,0.0
1988,21,1967,105.9,54.7,34.7,12.2,3.3,0.8,0.2,0.0,0.0
1989,22,1967,115.3,53.5,39.4,15.9,4.8,1.3,0.3,0.1,0.0
1990,23,1967,120.6,51.9,41.7,18.6,6.0,1.8,0.5,0.1,0.0
1991,24,1967,119.6,48.9,41.2,19.5,6.8,2.2,0.7,0.2,0.1
1992,25,1967,117.4,46.2,40.6,19.8,7.2,2.4,0.8,0.3,0.1
1993,26,1967,114.8,44.1,39.9,19.5,7.3,2.5,1.0,0.3,0.2
1994,27,1967,112.7,42.2,39.4,19.6,7.3,2.6,1.0,0.4,0.2
1995,28,1967,109.1,39.8,38.5,19.3,7.2,2.6,1.0,0.4,0.3
1996,29,1967,105.6,36.6,37.7,19.3,7.4,2.7,1.1,0.5,0.3
1997,30,1967,100.1,32.6,36.2,19.1,7.4,2.8,1.1,0.5,0.4
1998,31,1967,95.0,28.6,34.8,19.1,7.6,2.8,1.2,0.5,0.4
1999,32,1967,88.5,24.7,32.4,18.7,7.6,2.8,1.2,0.6,0.5
2000,33,1967,81.8,21.3,29.6,18.1,7.4,2.9,1.3,0.6,0.6
2001,34,1967,72.4,17.8,25.7,16.6,7.1,2.8,1.2,0.6,0.6
2002,35,1967,62.8,14.9,21.7,14.6,6.6,2.6,1.2,0.6,0.6
2003,36,1967,54.7,13.0,18.3,12.8,5.8,2.4,1.1,0.6,0.7
2004,37,1967,44.9,10.3,14.6,10.5,5.1,2.2,1.0,0.5,0.7
2005,38,1967,35.5,7.8,11.3,8.2,4.2,1.9,0.9,0.5,0.7
2006,39,1967,27.3,5.9,8.4,6.2,3.4,1.6,0.8,0.4,0.6
2007,40,1967,20.4,4.4,6.1,4.5,2.5,1.3,0.6,0.4,0.6
2008,41,1967,14.2,3.1,4.1,3.0,1.8,0.9,0.5,0.3,0.5
2009,42,1967,9.3,2.0,2.6,1.9,1.2,0.6,0.4,0.2,0.4
1982,14,1968,6.2,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,15,1968,16.6,15.3,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1984,16,1968,30.9,26.9,3.7,0.3,0.0,NaN,NaN,NaN,NaN
1985,17,1968,50.3,40.8,8.2,1.2,0.1,NaN,NaN,NaN,NaN
1986,18,1968,69.0,51.4,14.4,2.8,0.4,NaN,NaN,NaN,NaN
1987,19,1968,84.0,56.2,21.5,5.3,1.0,NaN,NaN,NaN,NaN
1988,20,1968,97.8,57.2,28.9,8.9,2.2,0.5,0.1,0.0,0.0
1989,21,1968,109.9,56.5,35.6,13.0,3.6,1.0,0.2,0.0,0.0
1990,22,1968,118.3,54.6,40.1,16.6,5.2,1.4,0.3,0.1,0.0
1991,23,1968,118.6,50.8,40.8,18.4,6.1,1.9,0.5,0.1,0.0
1992,24,1968,116.7,47.3,40.5,19.0,6.7,2.2,0.7,0.2,0.1
1993,25,1968,113.7,45.0,39.5,18.9,6.8,2.3,0.8,0.3,0.1
1994,26,1968,111.9,43.4,38.8,19.0,6.9,2.4,0.9,0.3,0.2
1995,27,1968,110.3,42.2,38.4,18.9,7.0,2.4,0.9,0.3,0.2
1996,28,1968,108.8,39.8,38.3,19.2,7.2,2.6,1.0,0.4,0.3
1997,29,1968,105.5,36.9,37.4,19.2,7.4,2.7,1.1,0.5,0.3
1998,30,1968,102.3,33.3,37.0,19.6,7.7,2.8,1.1,0.5,0.3
1999,31,1968,96.8,29.5,35.3,19.4,7.7,2.8,1.2,0.5,0.4
2000,32,1968,92.6,26.3,33.7,19.4,7.8,3.0,1.3,0.6,0.5
2001,33,1968,82.9,21.7,30.1,18.2,7.6,2.9,1.2,0.6,0.6
2002,34,1968,73.4,18.4,26.1,16.6,7.2,2.7,1.2,0.6,0.6
2003,35,1968,66.1,16.4,22.7,15.2,6.7,2.7,1.2,0.6,0.6
2004,36,1968,56.4,13.4,18.9,13.2,6.0,2.5,1.1,0.6,0.7
2005,37,1968,45.6,10.3,15.0,10.7,5.2,2.2,1.0,0.5,0.7
2006,38,1968,36.4,8.0,11.5,8.4,4.3,2.0,1.0,0.5,0.7
2007,39,1968,28.1,6.1,8.7,6.4,3.4,1.7,0.8,0.4,0.6
2008,40,1968,20.8,4.5,6.2,4.6,2.6,1.2,0.7,0.4,0.6
2009,41,1968,14.3,3.2,4.1,3.0,1.8,0.9,0.5,0.3,0.5
1983,14,1969,6.2,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,15,1969,16.3,15.0,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1985,16,1969,31.2,27.1,3.7,0.4,0.0,NaN,NaN,NaN,NaN
1986,17,1969,49.7,40.3,8.1,1.2,0.1,NaN,NaN,NaN,NaN
1987,18,1969,68.3,50.7,14.4,2.8,0.4,NaN,NaN,NaN,NaN
1988,19,1969,86.0,57.0,22.1,5.7,1.2,NaN,NaN,NaN,NaN
1989,20,1969,101.9,59.4,29.9,9.6,2.4,0.5,0.1,0.0,0.0
1990,21,1969,113.5,58.0,36.4,13.6,4.0,1.1,0.2,0.1,0.1
1991,22,1969,116.9,53.7,39.4,16.5,5.3,1.5,0.4,0.1,0.0
1992,23,1969,115.7,49.0,40.1,17.9,6.0,1.9,0.6,0.1,0.1
1993,24,1969,112.2,45.8,39.1,18.0,6.3,2.0,0.7,0.2,0.1
1994,25,1969,110.2,44.1,38.4,18.1,6.4,2.2,0.7,0.2,0.1
1995,26,1969,108.7,43.0,37.5,18.3,6.5,2.2,0.8,0.3,0.1
1996,27,1969,109.9,41.8,38.1,19.0,7.0,2.5,0.9,0.4,0.2
1997,28,1969,108.1,39.7,37.7,19.1,7.3,2.6,1.0,0.4,0.3
1998,29,1969,106.9,37.0,38.0,19.7,7.6,2.8,1.1,0.4,0.3
1999,30,1969,103.6,34.1,37.2,19.7,7.8,2.8,1.2,0.5,0.3
2000,31,1969,101.1,31.2,36.6,20.1,8.0,3.0,1.3,0.5,0.4
2001,32,1969,92.1,26.2,33.6,19.2,7.8,2.9,1.3,0.6,0.5
2002,33,1969,82.9,22.2,30.1,18.0,7.5,2.8,1.2,0.6,0.5
2003,34,1969,76.3,19.8,27.1,17.0,7.2,2.8,1.2,0.6,0.6
2004,35,1969,67.3,16.6,23.3,15.5,6.8,2.7,1.2,0.6,0.6
2005,36,1969,56.5,13.2,19.0,13.2,6.1,2.5,1.2,0.6,0.7
2006,37,1969,46.4,10.5,15.1,10.8,5.3,2.3,1.1,0.6,0.7
2007,38,1969,36.9,8.0,11.8,8.5,4.4,2.0,1.0,0.5,0.7
2008,39,1969,28.1,6.1,8.7,6.4,3.5,1.6,0.8,0.4,0.6
2009,40,1969,20.7,4.5,6.2,4.5,2.6,1.3,0.6,0.4,0.6
1984,14,1970,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,15,1970,16.3,15.0,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1986,16,1970,30.8,26.8,3.6,0.4,0.0,NaN,NaN,NaN,NaN
1987,17,1970,49.7,40.2,8.2,1.2,0.1,NaN,NaN,NaN,NaN
1988,18,1970,70.2,51.8,14.9,3.0,0.5,NaN,NaN,NaN,NaN
1989,19,1970,90.2,59.8,23.1,6.1,1.2,NaN,NaN,NaN,NaN
1990,20,1970,105.8,61.5,30.8,10.0,2.6,0.6,0.1,0.1,0.1
1991,21,1970,113.4,57.7,36.3,13.8,4.1,1.1,0.3,0.0,0.1
1992,22,1970,114.7,52.2,39.0,16.3,5.2,1.5,0.4,0.1,0.0
1993,23,1970,112.5,48.2,39.1,17.1,5.7,1.8,0.5,0.1,0.0
1994,24,1970,109.8,45.3,38.4,17.4,5.9,1.9,0.6,0.2,0.1
1995,25,1970,107.9,43.8,37.4,17.6,6.1,2.0,0.7,0.2,0.1
1996,26,1970,108.9,42.5,37.7,18.5,6.7,2.3,0.8,0.3,0.1
1997,27,1970,109.3,41.5,37.7,19.1,7.1,2.5,0.9,0.3,0.2
1998,28,1970,110.1,39.8,38.5,19.8,7.6,2.7,1.0,0.4,0.3
1999,29,1970,108.1,37.8,38.1,19.8,7.8,2.8,1.1,0.4,0.3
2000,30,1970,107.6,35.7,38.4,20.5,8.0,2.9,1.2,0.5,0.4
2001,31,1970,100.8,31.1,36.6,20.0,8.0,3.0,1.2,0.5,0.4
2002,32,1970,92.4,26.7,33.7,19.0,7.8,2.9,1.2,0.6,0.5
2003,33,1970,87.3,24.1,31.6,18.5,7.7,3.0,1.3,0.6,0.5
2004,34,1970,77.9,20.1,27.7,17.4,7.4,2.9,1.2,0.6,0.6
2005,35,1970,67.6,16.5,23.5,15.6,6.9,2.7,1.2,0.6,0.6
2006,36,1970,57.4,13.4,19.3,13.4,6.2,2.6,1.2,0.6,0.7
2007,37,1970,46.9,10.5,15.4,10.9,5.4,2.4,1.1,0.5,0.7
2008,38,1970,36.8,8.1,11.7,8.5,4.4,1.9,1.0,0.5,0.7
2009,39,1970,28.0,6.2,8.7,6.3,3.4,1.6,0.8,0.4,0.6
1985,14,1971,6.1,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,15,1971,16.5,15.2,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1987,16,1971,31.4,27.3,3.7,0.4,0.0,NaN,NaN,NaN,NaN
1988,17,1971,51.5,41.3,8.6,1.4,0.2,NaN,NaN,NaN,NaN
1989,18,1971,74.7,54.9,15.9,3.4,0.5,NaN,NaN,NaN,NaN
1990,19,1971,94.3,62.2,24.2,6.5,1.4,NaN,NaN,NaN,NaN
1991,20,1971,107.7,62.1,31.4,10.5,2.8,0.6,0.2,0.0,0.1
1992,21,1971,112.7,56.5,36.4,13.9,4.2,1.2,0.3,0.2,0.0
1993,22,1971,112.3,51.5,38.2,15.6,5.0,1.5,0.4,0.1,0.0
1994,23,1971,110.2,47.6,38.5,16.4,5.4,1.7,0.5,0.1,0.0
1995,24,1971,107.8,44.7,37.6,17.1,5.7,1.8,0.6,0.2,0.1
1996,25,1971,108.2,42.9,37.6,18.2,6.4,2.1,0.7,0.2,0.1
1997,26,1971,108.7,41.9,37.5,18.9,6.9,2.3,0.8,0.3,0.1
1998,27,1971,110.8,41.0,38.5,19.8,7.5,2.5,0.9,0.4,0.2
1999,28,1971,110.7,40.0,38.4,20.1,7.7,2.8,1.0,0.4,0.3
2000,29,1971,110.6,38.6,38.7,20.6,8.0,2.9,1.1,0.4,0.3
2001,30,1971,106.9,35.1,38.1,20.5,8.2,3.0,1.2,0.5,0.3
2002,31,1971,100.4,31.1,36.3,19.8,8.0,3.0,1.3,0.5,0.4
2003,32,1971,96.6,28.4,35.0,19.6,8.1,3.1,1.3,0.6,0.5
2004,33,1971,87.6,23.7,31.5,18.9,7.9,3.1,1.3,0.6,0.6
2005,34,1971,77.8,19.6,27.7,17.5,7.6,2.9,1.3,0.6,0.6
2006,35,1971,68.3,16.4,23.5,15.7,7.1,2.9,1.3,0.7,0.7
2007,36,1971,57.8,13.4,19.4,13.4,6.4,2.7,1.2,0.6,0.7
2008,37,1971,46.5,10.5,15.1,10.8,5.4,2.3,1.1,0.6,0.7
2009,38,1971,36.6,8.0,11.6,8.4,4.4,2.0,1.0,0.5,0.7
1986,14,1972,6.3,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,15,1972,17.2,15.8,1.3,0.1,0.0,NaN,NaN,NaN,NaN
1988,16,1972,33.0,28.4,4.1,0.5,0.0,NaN,NaN,NaN,NaN
1989,17,1972,55.4,44.3,9.4,1.5,0.2,NaN,NaN,NaN,NaN
1990,18,1972,78.3,57.1,17.0,3.6,0.6,NaN,NaN,NaN,NaN
1991,19,1972,98.0,64.1,25.4,7.0,1.5,NaN,NaN,NaN,NaN
1992,20,1972,108.1,61.5,32.0,10.8,2.9,0.7,0.1,0.1,0.0
1993,21,1972,111.2,56.6,35.9,13.3,3.9,1.1,0.3,0.0,0.1
1994,22,1972,110.7,51.5,37.8,15.0,4.7,1.3,0.3,0.1,0.0
1995,23,1972,109.1,47.3,38.1,16.3,5.3,1.6,0.4,0.1,0.0
1996,24,1972,108.9,44.1,38.2,17.8,6.0,1.9,0.6,0.2,0.1
1997,25,1972,108.9,42.3,38.1,18.8,6.6,2.1,0.7,0.2,0.1
1998,26,1972,110.8,41.4,38.7,19.8,7.3,2.4,0.8,0.3,0.1
1999,27,1972,112.1,41.2,38.7,20.4,7.7,2.7,0.9,0.3,0.2
2000,28,1972,113.0,40.5,38.9,20.9,8.1,2.9,1.1,0.4,0.2
2001,29,1972,111.6,38.2,39.0,21.0,8.4,3.0,1.2,0.5,0.3
2002,30,1972,107.3,35.1,38.0,20.6,8.3,3.1,1.3,0.5,0.4
2003,31,1972,105.1,33.0,37.4,20.6,8.5,3.2,1.3,0.6,0.5
2004,32,1972,96.6,27.9,34.7,20.1,8.3,3.2,1.3,0.6,0.5
2005,33,1972,87.8,23.2,31.6,19.1,8.2,3.2,1.3,0.6,0.6
2006,34,1972,78.9,19.6,27.8,17.7,7.9,3.1,1.4,0.7,0.7
2007,35,1972,69.3,16.5,23.7,15.9,7.4,3.1,1.4,0.6,0.7
2008,36,1972,57.5,13.3,19.1,13.4,6.4,2.7,1.3,0.6,0.7
2009,37,1972,46.6,10.4,15.0,10.7,5.5,2.4,1.2,0.6,0.8
1987,14,1973,6.7,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988,15,1973,18.0,16.5,1.4,0.1,0.0,NaN,NaN,NaN,NaN
1989,16,1973,35.5,30.4,4.6,0.5,0.0,NaN,NaN,NaN,NaN
1990,17,1973,57.9,45.9,10.1,1.7,0.2,NaN,NaN,NaN,NaN
1991,18,1973,82.3,59.4,18.1,4.1,0.7,NaN,NaN,NaN,NaN
1992,19,1973,97.7,63.0,25.8,7.3,1.6,NaN,NaN,NaN,NaN
1993,20,1973,106.5,61.5,31.3,10.1,2.7,0.6,0.2,0.0,0.1
1994,21,1973,109.2,56.5,35.1,12.5,3.7,1.0,0.2,0.1,0.1
1995,22,1973,108.9,50.9,37.1,14.7,4.6,1.2,0.3,0.1,0.0
1996,23,1973,109.6,46.4,38.6,17.0,5.5,1.6,0.4,0.1,0.0
1997,24,1973,109.2,43.2,38.7,18.4,6.2,1.9,0.6,0.1,0.1
1998,25,1973,110.8,41.7,39.2,19.7,7.0,2.2,0.7,0.2,0.1
1999,26,1973,111.9,41.5,38.8,20.4,7.5,2.5,0.8,0.3,0.1
2000,27,1973,113.9,41.6,38.8,21.1,8.1,2.8,1.0,0.3,0.2
2001,28,1973,112.9,39.7,38.9,21.2,8.4,3.0,1.1,0.4,0.2
2002,29,1973,110.8,37.9,38.4,21.0,8.4,3.1,1.2,0.5,0.3
2003,30,1973,110.7,36.8,38.6,21.1,8.7,3.3,1.3,0.5,0.4
2004,31,1973,104.6,32.3,37.0,21.0,8.7,3.3,1.3,0.6,0.4
2005,32,1973,97.0,27.4,34.8,20.3,8.7,3.3,1.4,0.6,0.5
2006,33,1973,88.9,23.3,31.7,19.3,8.5,3.4,1.4,0.7,0.6
2007,34,1973,80.2,19.8,28.0,18.0,8.1,3.4,1.5,0.7,0.7
2008,35,1973,69.0,16.4,23.4,15.9,7.4,3.1,1.4,0.7,0.7
2009,36,1973,57.6,13.3,18.9,13.3,6.5,2.8,1.3,0.7,0.8
1988,14,1974,7.1,7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1989,15,1974,19.5,17.7,1.7,0.1,0.0,NaN,NaN,NaN,NaN
1990,16,1974,36.9,31.4,4.9,0.6,0.0,NaN,NaN,NaN,NaN
1991,17,1974,60.9,47.9,10.9,1.9,0.2,NaN,NaN,NaN,NaN
1992,18,1974,81.5,58.3,18.3,4.2,0.7,NaN,NaN,NaN,NaN
1993,19,1974,96.4,63.3,24.9,6.7,1.5,NaN,NaN,NaN,NaN
1994,20,1974,104.8,62.0,30.3,9.3,2.4,0.5,0.1,0.1,0.1
1995,21,1974,107.3,56.1,34.4,12.0,3.4,0.9,0.2,0.1,0.2
1996,22,1974,109.5,50.1,37.9,15.2,4.6,1.3,0.3,0.1,0.0
1997,23,1974,110.0,45.5,39.3,17.5,5.6,1.6,0.4,0.1,0.0
1998,24,1974,111.1,42.6,39.9,19.3,6.5,2.0,0.6,0.1,0.1
1999,25,1974,111.9,42.0,39.4,20.2,7.1,2.2,0.7,0.2,0.1
2000,26,1974,114.6,42.2,39.2,21.3,7.9,2.7,0.9,0.3,0.1
2001,27,1974,114.0,40.8,39.1,21.5,8.3,2.8,1.0,0.3,0.2
2002,28,1974,113.0,39.8,38.6,21.3,8.5,3.1,1.1,0.4,0.2
2003,29,1974,114.6,39.9,39.1,21.6,8.7,3.3,1.2,0.5,0.3
2004,30,1974,111.2,36.4,38.5,21.6,9.0,3.4,1.3,0.6,0.4
2005,31,1974,105.3,31.7,37.2,21.3,9.1,3.5,1.4,0.6,0.5
2006,32,1974,98.8,27.6,35.1,20.7,9.2,3.5,1.5,0.7,0.5
2007,33,1974,90.7,23.6,32.1,19.8,8.8,3.6,1.5,0.7,0.6
2008,34,1974,79.8,19.8,27.5,18.0,8.2,3.4,1.5,0.7,0.7
2009,35,1974,68.9,16.4,23.1,15.7,7.6,3.2,1.4,0.7,0.8
1989,14,1975,7.5,7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990,15,1975,20.1,18.1,1.8,0.2,0.0,NaN,NaN,NaN,NaN
1991,16,1975,38.4,32.5,5.2,0.7,0.0,NaN,NaN,NaN,NaN
1992,17,1975,59.7,46.7,10.8,1.9,0.3,NaN,NaN,NaN,NaN
1993,18,1975,80.1,58.5,17.3,3.7,0.6,NaN,NaN,NaN,NaN
1994,19,1975,94.9,63.8,23.8,6.0,1.3,NaN,NaN,NaN,NaN
1995,20,1975,102.3,61.2,29.4,8.7,2.1,0.5,0.1,0.1,0.2
1996,21,1975,106.7,54.7,35.0,12.3,3.4,0.9,0.2,0.1,0.1
1997,22,1975,108.7,48.7,38.3,15.5,4.6,1.2,0.3,0.1,0.0
1998,23,1975,111.3,45.0,40.4,18.1,5.7,1.6,0.4,0.1,0.0
1999,24,1975,111.4,42.8,39.9,19.5,6.6,1.9,0.6,0.1,0.0
2000,25,1975,114.2,42.6,39.8,21.0,7.4,2.4,0.7,0.2,0.1
2001,26,1975,113.6,41.2,39.1,21.4,8.0,2.6,0.9,0.3,0.1
2002,27,1975,113.6,40.8,38.6,21.4,8.3,2.9,1.0,0.4,0.2
2003,28,1975,116.1,41.7,39.0,21.7,8.7,3.2,1.1,0.5,0.2
2004,29,1975,115.1,39.5,39.1,22.0,9.1,3.3,1.3,0.5,0.3
2005,30,1975,111.9,35.9,38.8,22.0,9.3,3.5,1.4,0.6,0.4
2006,31,1975,107.1,32.1,37.6,21.8,9.5,3.6,1.5,0.6,0.4
2007,32,1975,100.3,27.9,35.4,21.1,9.4,3.7,1.6,0.7,0.5
2008,33,1975,90.1,23.6,31.4,19.6,9.0,3.6,1.6,0.7,0.6
2009,34,1975,79.5,19.7,27.3,17.7,8.4,3.5,1.5,0.7,0.7
1990,14,1976,7.6,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991,15,1976,20.5,18.5,1.8,0.2,0.0,NaN,NaN,NaN,NaN
1992,16,1976,37.6,31.8,5.1,0.6,0.1,NaN,NaN,NaN,NaN
1993,17,1976,59.0,47.1,10.1,1.6,0.2,NaN,NaN,NaN,NaN
1994,18,1976,79.3,59.2,16.3,3.3,0.5,NaN,NaN,NaN,NaN
1995,19,1976,92.5,63.1,22.9,5.5,1.0,NaN,NaN,NaN,NaN
1996,20,1976,101.0,59.5,29.9,8.8,2.0,0.5,0.1,0.1,0.1
1997,21,1976,105.4,53.3,35.3,12.4,3.3,0.8,0.2,0.1,0.0
1998,22,1976,110.0,48.4,39.4,16.0,4.6,1.2,0.3,0.1,0.0
1999,23,1976,111.4,45.0,40.3,18.3,5.8,1.5,0.4,0.1,0.0
